"통계분류","항목","단위","1994 년","1995 년","1996 년","2002 년","2004 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2013 년","2015 년","2017 년","2019 년","2021 년",
"20대 이하","자기계발서","","","","","","","","","","","0","9","13.3","","","","",
"20대 이하","취미,오락,여행,건강","","","","","","","","","","","0","16.4","9.8","","","","",
"20대 이하","경제,경영","","","","","","","","","","","0","4.7","6.4","","","","",
"20대 이하","정치,사회,시사","","","","","","","","","","","0","3","3","","","","",
"20대 이하","어학, 외국어","","","","",".9","2.1","2.8","2.8","2.8","4.5","0","","","","","","",
"20대 이하","역사, 지리","","1.8","2.3","3","2.1","2.8","2","2.3","2","1.8","0","","","","","","",
"20대 이하","가정,육아,요리","","","","","","","","","","","0","2.4","3.2","","","","",
"20대 이하","시","","3.3","3.9","3.4","4.5","2.2",".9","1.3","2.3","2.9","0","","","","","","",
"20대 이하","책을 전혀 읽지 않는다","","","","","","","4","4.2","9.6","4.6","0","","","","","","",
"20대 이하","선호분야없음","","","","","3.4","3.2","","","","","0","","","","","","",
"20대 이하","국내소설","","32.5","35.6","36.7","","","","","","","0","","","","","","",
"20대 이하","추리소설","","7.5","6.3","6.2","6.5","8.2","4.9","6.9","5.8","8.3","0","","","","","","",
"20대 이하","외국소설","","17.8","15.4","13.4","","","","","","","0","","","","","","",
"20대 이하","유모어·풍자","","2.4","2.5","1.9","","","","","","","0","","","","","","",
"20대 이하","공상과학소설","","3.2","3.6","2.3","","","","","","","0","","","","","","",
"20대 이하","과학,기술","","","","","","","","","","","0","1.4","","","","","",
"20대 이하","시,소설,수필","","","","","","","","","","","0","30.6","","","","","",
"20대 이하","무협,판타지,추리소설","","","","","","","","","","","0","14.9","","","","","",
"20대 이하","예술,문화","","","","","","","","","","","0","5.2","4.8","","","","",
"20대 이하","재테크,부동산","","","","","","","","","","","0","1","1","","","","",
"20대 이하","역사,지리","","","","","","","","","","","0","2.8","2.4","","","","",
"20대 이하","어학,컴퓨터","","","","","","","","","","","0","3.2","4.2","","","","",
"20대 이하","문학도서","","","","","50.5","48.6","45.2","41.2","44.8","46","47.3","","30.2","","","","",
"20대 이하","일반소설","","","","","29.5","26.7","26.9","25.4","25.9","23.7","0","","","","","","",
"20대 이하","수기, 전기","","3.6","3.6","5.1","1.2","1.4","3.3","1","2.7","1.7","0","","","","","","",
"20대 이하","동화","","","","",".7",".3",".4",".8",".5",".7","0","","","","","","",
"20대 이하","다큐멘터리","","1.8","3.2","3.7",".7","1.7","1.8","1.6",".4","1.6","0","","","","","","",
"20대 이하","문학외교양","","","","","11.6","14.3","14.6","15.3","13.9","13.5","13.1","","","","","","",
"20대 이하","경제, 경영","","1.7","2.4","1.7","1.4","4.5","4.5","4.7","5.5","3.9","0","","","","","","",
"20대 이하","종교","","3","2.5","2.3","2.3","1.6","2.6","2.5","1","1.8","0","","","","","","",
"20대 이하","과학, 기술","","2","2.3","1","1.9","1","1","2.4","1.9","1.5","0","","","","","","",
"20대 이하","예술","",".5",".5","1","1.7","1.4","1.1",".6","1.9","1.1","0","","","","","","",
"20대 이하","법, 정치","","","","",".5","1.1",".5",".3",".5",".7","0","","","","","","",
"20대 이하","실용, 취미도서류","","3.6","2.5","3.5","18.5","21.9","21.6","25.6","19.8","26.1","29.3","","","","","","",
"20대 이하","요리","","","","","1.2","1.1",".9","1.7","1.6","2.1","0","","","","","","",
"20대 이하","건강, 다이어트","","","","","2.7","2.6","2.3","3.1","1.9","1.8","0","","","","","","",
"20대 이하","여성, 육아","","","","","1.2","1.8","1.8","1.9","1.9","2.1","0","","","","","","",
"20대 이하","취미","","","","","1.6","1.3","2.1","2.8","2.3","3.5","0","","","","","","",
"20대 이하","연예, 오락","","","","","4.1",".2","3.3","3.2","2.1","5","0","","","","","","",
"20대 이하","여행","","","","",".7","1.3","1.7","1.9","1.6","1.4","0","","","","","","",
"20대 이하","스포츠","",".8",".2",".5","2.7","2.5","2.3","1.8","1.2","2.1","0","","","","","","",
"20대 이하","컴퓨터","","3","3.4","2.3","3","2.8","2.5","2.9","1.4",".7","0","","","","","","",
"20대 이하","만화, 무협지","","","","","14.5","11.8","13.6","12.8","11","9.2","0","","","","","","",
"20대 이하","무협지, 판타지소설","","","","","6.7","5.2","8.3","7.4","5.9","5.6","0","","","","","","",
"20대 이하","만화","","","","","7.8","6.6","5.3","5.4","5.1","3.6","0","","","","","","",
"20대 이하","철학,사상,종교","","","","","","","","","","","0","5.2","6.6","","","","",
"20대 이하","기 타","","1.8","1.8",".7","4.5",".3",".8","1","1",".6","10.3","0","","","","","",
"30~39세","사례수","","324","324","333","332","269","253","253","239","239","178","","319","718","737","702","543",
"30~39세","계","","","","","","","","","","","0","100","100","","100","","",
"30~39세","소설( 장르 소설 포함)","","","","","","","","","","","0","","10.8","13.3","14.9","13.4","30.8",
"30~39세","수필","","7","8.5","7.6","9.3","7.1","8.5","5.2","7","8","0","","","","","","11.3",
"30~39세","재테크","","","","","2.1","4.3","4.2","8.2","5.9","5.2","0","","","","","","8.8",
"30~39세","철학, 사상, 종교","","2.8","2.1","2.2","2.3","1.7","2.4","1.9","2.1","1.8","0","","","","","","3.5",
"30~39세","자기계발서","","","","","","","","","","","0","6.5","11.2","9.6","7.7","12","8",
"30~39세","취미,오락,여행,건강","","","","","","","","","","","0","18.9","11.8","12.2","11.6","10.5","5.5",
"30~39세","경제,경영","","","","","","","","","","","0","4.9","8.1","6.1","6.3","7","5",
"30~39세","정치,사회,시사","","","","","","","","","","","0","4.4","3.5","3.7","3.1","3","4.2",
"30~39세","어학, 외국어","","","","","1.3","1.1","3","1.8","1.2",".3","0","","","","2.7","","5.2",
"30~39세","역사, 지리","","1.4","1.7","2.3","2.4","2.6","3.2","2.6","2.4","1.6","0","","","","","","3.6",
"30~39세","가정,육아,요리","","","","","","","","","","","0","7","10.8","9","11.3","10.1","7.1",
"30~39세","시","","1.8","2.6","2.1","4.9","2.4","1.7","2.9","2","3.3","0","","","","","","2.8",
"30~39세","책을 전혀 읽지 않는다","","","","","","","5.1","5.9","13.5","7.7","0","","","","","","",
"30~39세","선호분야없음","","","","","6.7","6.4","","","","","0","","","","","","",
"30~39세","국내소설","","34.3","32.7","33","","","","","","","0","","","","","","",
"30~39세","추리소설","","5.6","7.6","10.1","6.4","7.4","3","5.1","2.7","6","0","","","","","","",
"30~39세","외국소설","","8.6","8.7","6.7","","","","","","","0","","","","","","",
"30~39세","유모어·풍자","","4.3","2.9","2.7","","","","","","","0","","","","","","",
"30~39세","공상과학소설","","2.1","1.3","1.2","","","","","","","0","","","","","","",
"30~39세","과학,기술","","","","","","","","","","","0",".8","","","","","",
"30~39세","시,소설,수필","","","","","","","","","","","0","28.2","","","","","",
"30~39세","무협,판타지,추리소설","","","","","","","","","","","0","10.2","","","","","",
"30~39세","예술,문화","","","","","","","","","","","0","3.3","3","3.8","3.5","","",
"30~39세","재테크,부동산","","","","","","","","","","","0","4","3.1","","3.5","","",
"30~39세","역사,지리","","","","","","","","","","","0","2.4","3.2","2.7","3.1","","",
"30~39세","어학,컴퓨터","","","","","","","","","","","0","1.4","2.6","","","","",
"30~39세","문학도서","","","","","50.4","47","36.8","40.1","39","44.9","39.4","","24.6","24.9","23.6","29","",
"30~39세","일반소설","","","","","25.1","26.4","19.8","21.7","22.2","21.8","0","","","","","","",
"30~39세","수기, 전기","","7.7","6.6","6.8","1.6","2.3","2",".3","2.1","2.8","0","","","","","","",
"30~39세","동화","","","","",".3",".4",".1","3.4","2.2","1.5","0","","","","","","",
"30~39세","다큐멘터리","","4.4","5.8","5.6","2.8","1","1.7","1.5",".8","1.5","0","","","","","","",
